,Name,City,Rating,Loc,Description,Adress,Link,Lat,Long
12,Antichambre,Nimes,9.9,Nîmes,"L'Antichambre se situe à Nîmes, à 1,9 km du parc des expositions de la ville. Cette chambre d'hôtes propose un jardin et des chambres avec connexion Wi-Fi gratuite. ","11 rue bigot, 30900 Nîmes, France",https://www.booking.com/hotel/fr/antichambre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8345594,4.3571434
13,Hotel Cote Patio,Nimes,7.2,Nîmes,"Situé à 900 mètres du centre-ville de Nîmes, l'Hotel Cote Patio se trouve à 5 minutes de marche des arènes et à 10 minutes à pied de la gare. ","31 Rue De Beaucaire, 30000 Nîmes, France",https://www.booking.com/hotel/fr/hotelcotepatio.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8388733,4.3695429
14,Hôtel & Spa Vatel,Nimes,8.3,Nîmes,L’Hôtel & Spa Vatel vous accueille à 10 minutes de route du centre-ville de Nîmes et à 15 km de l’aéroport de Nîmes Alès Camargue Cévennes. ,"140, rue Vatel, 30900 Nîmes, France",https://www.booking.com/hotel/fr/vatel.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8203696,4.3192561
15,L'Exception,Nimes,8.8,"Nimes City Centre, Nîmes","Doté d'une connexion Wi-Fi gratuite, L'Exception est situé dans le centre de Nîmes, à moins de 13 km du parc des expositions et à 34 km de l'amphithéâtre d'Arles. ","28 Rue nationale, 30000 Nîmes, France",https://www.booking.com/hotel/fr/le-national-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8397044,4.3607813
16,"Le Pari Nîmois, avec Parking, Centre Ville Arènes",Nimes,9.5,Nîmes,"Doté d'un jardin et d'une terrasse, Le Pari Nîmois, avec Parking, Centre Ville Arènes propose un hébergement à Nîmes avec une connexion Wi-Fi gratuite et une vue sur le jardin. ","3 Petite Rue du Louvre, 30000 Nîmes, France",https://www.booking.com/hotel/fr/le-pari-nimois-avec-parking-centre-ville-arenes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8354166,4.3643669
17,Maison familiale à Nîmes,Nimes,8.3,Nîmes,"Dotée d'un jardin et d'une terrasse, la Maison familiale à Nîmes est située à Nîmes, à 34 km de l'amphithéâtre d'Arles, à 43 km de la gare centrale d'Avignon et à 44 km du palais des papes. ","16 Rue Salomon Reinach, 30000 Nîmes, France",https://www.booking.com/hotel/fr/maison-familiale-a-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8336621,4.378127
18,Margaret - Hôtel Chouleur,Nimes,9.2,"Nimes City Centre, Nîmes","Idéalement situé à Nîmes, le Margaret - Hôtel Chouleur propose des chambres climatisées, une piscine extérieure ouverte en saison, une connexion Wi-Fi gratuite et une salle de sport. ","6 Rue Fresque, 30000 Nîmes, France",https://www.booking.com/hotel/fr/margaret-chouleur.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8366941,4.3583494
19,Guest House Encantada,Nimes,9.7,Nîmes,"Situé à Nîmes, le Guest House Encantada propose un restaurant, un service de concierge, un bar, un jardin, une terrasse et une piscine extérieure ouverte en saison. ","53 Impasse De L’Escaut, 30000 Nîmes, France",https://www.booking.com/hotel/fr/encantadahome.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8532862,4.3517661
20,Jasmin,Nimes,9.2,Nîmes,"Offrant une vue sur la ville, le Jasmin propose des hébergements avec un balcon et une bouilloire, à environ 32 km de l'amphithéâtre d'Arles. ","6 Rue des Fougères, 30000 Nîmes, France",https://www.booking.com/hotel/fr/jasmin-nimes.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,43.8218225,4.3552047
21,Hotel Mas De Galoffre,Nimes,7.7,Nîmes,"Situé à 5 minutes en voiture du centre de Nîmes et de la Camargue, l'Hotel Mas de Galoffre, niché au cœur d'un domaine provençal, constitue un point de départ idéal pour découvrir la région et...","route de Générac, 30900 Nîmes, France",https://www.booking.com/hotel/fr/mas-de-galoffre.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24ARfIAQzYAQHoAQH4AQKIAgGoAgO4AvuylaEGwAIB0gIkMjBiZDJlZWUtZjY0ZC00OWVlLWExZGQtMWQzN2NhYTA1NDA52AIF4AIB&aid=304142&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=c37b99902654042b&srepoch=1680299425&from=searchresults#hotelTmpl,43.8141768,4.3536498
